RNK,Value,Name,Status,G,M,PTS,TPM,REB,AST,STL,BLK,TOV,FG%,FGA,FT%,FTA,zPTS,zTPM,zAST,zREB,zSTL,zBLK,zTOV,zFG%,zFT%
18,0.98,Kawhi Leonard,,52,32.4,21.9,2.09,6.05,3.12,1.59,0.63,1.81,50%,16.68,85%,3.59,1.87,1.05,0.5,0.94,2.29,0.46,-0.77,1.08,1.36
19,0.97,Amen Thompson,Status$,72,35.5,16.4,0.53,8.64,5.54,1.7,1.45,2.03,57%,11.28,68%,4.4,1.04,-0.65,1.8,2,2.57,2.4,-1.04,2.41,-1.83
20,0.96,Jimmy Butler III,,66,33.4,16.5,0.72,5.29,5.75,1.59,0.27,1.41,51%,10.26,87%,6.14,1.05,-0.43,1.91,0.63,2.29,-0.39,-0.29,0.86,3.02
21,0.96,LeBron James,Status$,69,34.4,24.7,2.24,7.25,7.37,1.05,0.55,3.43,52%,17.84,79%,4.94,2.29,1.22,2.78,1.43,0.93,0.27,-2.76,1.93,0.53
22,0.95,Chet Holmgren,,68,29.5,16.6,1.65,8.39,2.49,0.79,2.27,1.82,51%,11.36,77%,4.42,1.07,0.58,0.17,1.89,0.28,4.33,-0.79,0.96,0.04
23,0.93,Trey Murphy III,Status$,61,34.4,21.4,3.28,5.02,4.21,1.08,0.64,1.91,46%,15.57,88%,4.47,1.79,2.35,1.09,0.52,1.01,0.49,-0.9,-0.34,2.37
24,0.91,Derrick White,,63,35.1,19,3.65,5,6.25,1.17,1.06,2.45,43%,14.57,86%,3.4,1.43,2.75,2.18,0.51,1.23,1.48,-1.56,-1.26,1.44
25,0.89,Domantas Sabonis,,74,35.4,18.5,1.06,14.17,6.28,0.73,0.28,2.92,58%,12.51,75%,3.77,1.36,-0.07,2.2,4.26,0.13,-0.36,-2.13,2.95,-0.35
26,0.88,Lauri Markkanen,Status$,66,32.4,22.1,3.33,7.16,1.82,0.74,0.49,1.44,46%,15.61,89%,4.8,1.9,2.41,-0.19,1.39,0.15,0.13,-0.32,-0.34,2.78
27,0.87,Josh Giddey,,75,34.1,19,1.68,9.19,9.07,1.26,0.63,3.55,48%,13.82,79%,5.14,1.43,0.61,3.69,2.22,1.46,0.46,-2.9,0.29,0.56
28,0.87,Jamal Murray,,66,34.5,21.7,2.42,3.8,6.1,1.25,0.44,2.25,48%,16.83,88%,3.69,1.84,1.42,2.1,0.02,1.44,0.01,-1.31,0.37,1.93
29,0.86,Jalen Johnson,,61,35.6,18.7,1.16,9.62,5.24,1.52,0.96,2.84,51%,14.9,75%,3.3,1.39,0.04,1.64,2.4,2.12,1.24,-2.03,1.28,-0.32
30,0.84,Ivica Zubac,,74,31.3,16.7,0,12.04,2.54,0.56,1.16,1.37,63%,11.54,70%,2.98,1.08,-1.22,0.19,3.39,-0.3,1.71,-0.24,3.96,-1.01
31,0.83,Jaren Jackson Jr.,,67,30.6,22.8,2.18,5.76,2.24,1.2,1.54,2.34,48%,16.82,79%,5.73,2.01,1.15,0.03,0.82,1.31,2.61,-1.42,0.37,0.64
32,0.83,Tyler Herro,Status$,67,34.4,23.6,3.25,4.73,5.33,1.06,0.24,2.82,48%,17.33,87%,4.32,2.13,2.31,1.69,0.4,0.96,-0.46,-2.01,0.38,2.08
33,0.82,Trae Young,,72,35.1,24.7,3.11,2.86,11.44,1.21,0.08,4.5,42%,17.6,87%,7.7,2.29,2.17,4.96,-0.37,1.34,-0.83,-4.07,-1.89,3.82
34,0.82,Kristaps Porziņģis,Status$,51,27,19.4,2.3,7.04,1.94,0.71,1.47,1.28,46%,13.82,82%,5.25,1.49,1.29,-0.13,1.34,0.08,2.44,-0.13,-0.31,1.32
35,0.82,Dyson Daniels,,72,33.1,14,0.92,5.65,4.7,2.8,0.7,2.3,52%,11.6,64%,1.5,0.67,-0.22,1.35,0.77,5.34,0.63,-1.37,1.23,-1.01
36,0.81,Austin Reaves,Status$,75,35.5,21.3,2.85,4.2,5.21,1.05,0.33,2.41,47%,14.55,87%,5.5,1.78,1.88,1.62,0.18,0.93,-0.25,-1.51,-0.01,2.69
37,0.81,Mark Williams,,52,27.5,16.4,0.02,10.93,2.51,0.84,1.21,2.15,60%,10.99,78%,3.92,1.04,-1.19,0.18,2.93,0.4,1.83,-1.19,3.06,0.2
38,0.79,Michael Porter Jr.,,65,34,22.1,3.15,8.4,2.7,0.6,0.62,1.8,48%,16.6,83%,3.6,1.9,2.21,0.28,1.9,-0.2,0.44,-0.76,0.36,1.02
