,PLAYER,POS,TEAM,GP,MPG,PTS,FG%,FT%,3PM,REB,AST,STL,BLK,TO
71,Jalen Johnson,"PF,SF",ATL,71.0,32.9,16.8,0.501,0.723,1.3,9.0,4.2,1.4,0.9,2.4
72,OG Anunoby,"SF,PF",NYK,74.0,36.1,16.6,0.479,0.809,2.2,4.6,2.0,1.5,0.8,1.5
73,Chet Holmgren,"PF,C",OKC,72.0,30.2,16.6,0.505,0.771,1.5,8.6,2.2,0.7,2.1,1.8
74,Devin Vassell,"SG,SF",SAS,73.0,31.6,16.6,0.455,0.792,2.3,3.7,3.1,1.2,0.4,1.3
75,De'Andre Hunter,"SF,PF",CLE,74.0,29.5,16.6,0.469,0.843,2.3,4.2,1.5,0.7,0.2,1.4
76,Kyle Kuzma,"SF,PF",MIL,74.0,29.8,16.4,0.458,0.698,1.6,5.8,2.9,0.5,0.4,2.2
77,Jared McCain,"PG,SG",PHI,70.0,27.8,16.3,0.48,0.878,2.4,2.5,2.8,0.7,0.0,1.6
78,Myles Turner,C,MIL,75.0,30.6,16.2,0.503,0.777,1.7,6.9,1.4,0.6,1.9,1.7
79,Kevin Porter Jr.,"PG,SG",MIL,75.0,31.2,16.1,0.455,0.775,1.4,5.3,5.5,1.5,0.3,2.6
80,Cam Whitmore,"SF,PF",WAS,73.0,28.1,16.1,0.443,0.725,2.4,5.0,1.5,1.0,0.5,1.6
81,John Collins,"PF,C",LAC,72.0,30.0,16.0,0.533,0.821,1.3,7.4,1.5,0.8,0.9,1.8
82,Derrick White,"PG,SG",BOS,75.0,33.1,16.0,0.444,0.868,3.1,4.7,5.2,1.1,1.3,1.7
83,Deandre Ayton,C,LAL,73.0,31.0,15.6,0.605,0.724,0.1,9.8,1.6,0.7,0.9,1.7
84,Klay Thompson,"SG,SF",DAL,75.0,29.4,15.6,0.425,0.904,3.0,3.4,2.1,0.7,0.4,1.3
85,Cameron Johnson,"SF,PF",DEN,72.0,28.3,15.6,0.485,0.867,2.3,4.1,2.7,1.0,0.4,1.2
86,Bradley Beal,"SF,SG",LAC,71.0,29.0,15.6,0.505,0.814,1.6,3.2,3.5,1.0,0.4,1.8
87,Ivica Zubac,C,LAC,78.0,32.3,15.5,0.645,0.679,0.0,11.5,2.2,0.6,1.1,1.6
88,Immanuel Quickley,"PG,SG",TOR,72.0,28.4,15.5,0.435,0.848,2.2,3.7,4.8,0.9,0.1,1.6
89,Malik Monk,"PG,SF,SG",SAC,74.0,27.8,15.4,0.441,0.86,2.0,3.3,4.7,0.8,0.5,2.2
