PLAYER,G,MPG,PTS,FGM,FGA,FG%,FTA,FTM,FT%,3PM,REB,AST,STL,BLK,TO
Pat Connaughton,12.0,9.7,4.3,1.5,3.1,0.486,0.8,0.5,0.667,0.8,1.9,0.6,0.4,0.1,0.3
Bones Hyland,16.0,8.8,4.3,1.6,3.1,0.52,0.3,0.2,0.75,0.8,1.0,1.4,0.4,0.0,0.8
Dereck Lively II,7.0,16.4,4.3,1.6,2.6,0.611,1.4,1.1,0.8,0.0,5.3,1.9,0.6,1.6,1.4
Javon Small,8.0,12.4,4.3,1.3,3.5,0.357,1.3,1.0,0.8,0.8,1.0,2.8,0.0,0.1,1.0
Jarred Vanderbilt,15.0,17.3,4.3,1.5,3.4,0.431,1.3,1.1,0.842,0.3,5.2,1.5,0.9,0.3,1.5
Eric Gordon,5.0,11.4,4.2,1.6,2.6,0.615,0.0,0.0,,1.0,0.4,0.6,0.6,0.0,0.6
Olivier-Maxence Prosper,13.0,9.4,4.1,1.2,2.8,0.405,1.8,1.7,0.917,0.1,2.4,0.5,0.2,0.1,0.4
Will Riley,17.0,10.8,4.1,1.5,3.2,0.473,1.0,0.8,0.765,0.3,1.8,1.0,0.3,0.1,0.7
James Wiseman,1.0,20.0,4.0,2.0,3.0,0.667,0.0,0.0,,0.0,4.0,0.0,0.0,1.0,3.0
Jamison Battle,17.0,8.1,3.9,1.5,2.2,0.676,0.3,0.2,0.8,0.8,1.4,0.2,0.1,0.1,0.4
Keshad Johnson,9.0,11.7,3.9,1.3,3.9,0.343,1.2,0.8,0.636,0.4,3.1,0.1,0.3,0.4,0.3
Gary Payton II,25.0,12.0,3.9,1.7,3.6,0.478,0.1,0.1,1.0,0.3,2.9,1.6,0.6,0.2,0.7
